hour	day	value
1	106年	10
2	106年	16
3	106年	1
4	106年	6
5	106年	23
6	106年	33
7	106年	34
8	106年	499
9	106年	18
10	106年	104
11	106年	168
12	106年	3739
13	106年	1
14	106年	11
15	106年	10
16	106年	30
17	106年	31
18	106年	440
19	106年	14
20	106年	4
21	106年	1
22	106年	1
23	106年	8
24	106年	3
25	106年	2
27	106年	4
28	106年	2
29	106年	109
30	106年	33
31	106年	9
32	106年	2
1	105年	16
2	105年	16
3	105年	4
4	105年	4
5	105年	14
6	105年	20
7	105年	35
8	105年	347
9	105年	3
10	105年	281
11	105年	61
12	105年	2085
14	105年	6
15	105年	1
16	105年	19
17	105年	20
18	105年	235
19	105年	5
21	105年	1
22	105年	1
28	105年	1
29	105年	35
30	105年	14
31	105年	7
32	105年	1
1	104年	14
2	104年	23
3	104年	1
4	104年	1
5	104年	9
6	104年	14
7	104年	22
8	104年	390
9	104年	2
10	104年	34
11	104年	51
12	104年	2652
14	104年	10
15	104年	5
16	104年	46
17	104年	14
18	104年	229
20	104年	2
28	104年	2
29	104年	43
30	104年	10
31	104年	27
32	104年	11
1	103年	8
2	103年	13
3	103年	2
4	103年	4
5	103年	8
6	103年	8
7	103年	32
8	103年	472
9	103年	2
10	103年	21
11	103年	46
12	103年	3350
14	103年	11
15	103年	3
16	103年	1
17	103年	20
18	103年	267
19	103年	4
27	103年	2
29	103年	21
30	103年	17
31	103年	37
32	103年	20
1	102年	5
2	102年	13
3	102年	4
4	102年	5
5	102年	11
6	102年	21
7	102年	40
8	102年	526
10	102年	58
11	102年	38
12	102年	3817
14	102年	26
15	102年	15
16	102年	65
17	102年	13
18	102年	270
19	102年	1
20	102年	4
22	102年	2
28	102年	1
29	102年	47
30	102年	13
31	102年	5
32	102年	4
1	101年	6
2	101年	14
3	101年	3
4	101年	10
5	101年	10
6	101年	14
7	101年	36
8	101年	645
10	101年	43
11	101年	29
12	101年	4259
13	101年	1
14	101年	53
15	101年	13
16	101年	61
17	101年	14
18	101年	296
19	101年	2
27	101年	2
29	101年	56
30	101年	7
31	101年	10
32	101年	13
1	100年	6
2	100年	12
3	100年	4
4	100年	4
5	100年	7
6	100年	18
7	100年	29
8	100年	738
9	100年	5
10	100年	73
11	100年	11
12	100年	4514
14	100年	72
15	100年	26
16	100年	94
17	100年	10
18	100年	237
19	100年	1
20	100年	1
29	100年	34
30	100年	15
31	100年	6
32	100年	6

